symbol,Name,Currency,SIC Code,NAICS Code,Business Description,Industry,Country,State,City,CIK Code,Company Website,Enterprise Value (in $),Revenue (in $),COGS (in $),Gross Profit (in $,EBITDA (in $),Operating Profit (in $),Other Expenses (in $),Operating Expenses (in $),Net Income (in $),Cash (in $),Accounts Receivables (in $),Inventories (in $),Other Current Assets (in $),Total Current Assets (in $),Fixed Assets (in $),PPE (in $),Total Assets (in $),Accounts Payable (in $),Short Term Debt (in $),Long Term Debt (in $),Other Current Liabilities (in $),Total Current Liabilities (in $),Other Liabilities (in $),Total Liabilities (in $),Net Worth (in $),Total Liabilities & Equity (in $),,Revenue (in %),COGS (in %),Gross Profit (in %),EBITDA (in %),Operating Profit (in %),Other Expenses (in %),Operating Expenses (in %),Net Income (in %),Cash (in %),Accounts Receivables (in %),Inventories (in %),Other Current Assets (in %),Total Current Assets (in %),Fixed Assets (in %),PPE (in %),Total Assets (in %),Accounts Payable (in %),Short Term Debt (in %),Long Term Debt (in %),Other Current Liabilities (in %),Total Current Liabilities (in %),Other Liabilities (in %),Total Liabilities (in %),Net Worth (in %),Total Liabilities & Equity (in %)
LYL,Metalpha Technology Holding Limited,USD,8711,-,"Lycopodium Limited provides engineering and project delivery services in the resources, infrastructure, and industrial processes sectors.",Engineering Services,Australia,WA,East Perth,0,www.lycopodium.com,396.5724,340.67561,243.36316,,73.11854,70.43266,0.22812,270.24295,56.98903,82.41207,67.69461,0.27563,2.72639,177.11457,0,21.76005,215.87859,5.4088,0,0,66.02245,90.85981,1.52671,102.91368,112.96491,215.87859,,1,0.714354515,0.285645485,0.214628045,0.206744064,0.000669611,0.793255936,0.167282389,0.381751938,0.313577229,0.001276782,0.012629275,0.820436015,0,0.100797629,1,0.025054824,0,0,0.305831393,0.42088384,0.007072077,0.476720179,0.523279821,1
CRBU,"Caribou Biosciences, Inc.",USD,2836,-,"Caribou Biosciences, Inc., a clinical-stage biopharmaceutical company, engages in the development of genome-edited allogeneic cell therapies for the treatment of hematologic malignancies and solid tumors in the United States and internationally.",Biological Product (except Diagnostic) Manufacturing ,United States,CA,Berkeley,CIK_0001619856,cariboubio.com,137.45841,34.611,106.532,,-105.904,-109.195,6.535,143.806,-94.554,104.058,2.791,0,2.214,350.693,0,39.278,457.521,2.377,0,0,4.925,24.572,8.365,59.253,398.268,457.521,,1,3.077980989,-2.077980989,-3.059836468,-3.154921846,0.188812805,4.154921846,-2.731906041,0.227438741,0.006100266,0,0.004839122,0.766506893,0,0.085849611,1,0.00519539,0,0,0.010764533,0.053706824,0.018283314,0.129508809,0.870491191,1
VSAT,"Viasat, Inc.",USD,3663,-,"Viasat, Inc. provides broadband and communications products and services worldwide.",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,United States,CA,Carlsbad,CIK_0000797721,www.viasat.com,9310.52739,3799.844,2570.529,,852.874,-58.493,0,3858.337,228.197,1961.583,664.482,345.602,159.881,4059.194,0,8131.015,17072.044,388.582,0,7195.576,829.417,1549.396,2669.122,11844.341,5227.703,17072.044,,1,0.676482771,0.323517229,0.224449741,-0.015393527,0,1.015393527,0.060054307,0.114900301,0.038922229,0.020243739,0.009365077,0.237768483,0,0.476276596,1,0.022761305,0,0.421482981,0.048583345,0.090756327,0.156344606,0.693785759,0.306214241,1
LOCO,"El Pollo Loco Holdings, Inc.",USD,5812,-,"El Pollo Loco Holdings, Inc., through its subsidiary, El Pollo Loco, Inc., develops, franchises, licenses, and operates quick-service restaurants under the El Pollo Loco name.",Theater Companies and Dinner Theaters ,United States,CA,Costa Mesa,"CIK_0001606366,CIK_0001361859",www.elpolloloco.com,544.77482,472.339,379.491,,52.423,37.473,0,434.866,27.739,13.815,9.622,2.039,0,29.129,0,250.318,593.028,10.087,0,80,14.26,69.599,16.351,334.356,258.672,593.028,,1,0.803429317,0.196570683,0.110985966,0.079334969,0,0.920665031,0.058726889,0.023295696,0.016225204,0.003438286,0,0.049119097,0,0.422101486,1,0.017009315,0,0.134900882,0.024046082,0.117362081,0.027572054,0.56381149,0.43618851,1
CHKP,Check Point Software Technologies Ltd.,USD,7372,-,"Check Point Software Technologies Ltd. develops, markets, and supports a range of products and services for IT security worldwide.",Manufacturing and Reproducing Magnetic and Optical Media ,Israel,0,Tel Aviv,CIK_0001015922,www.checkpoint.com,14886.77491,2414.7,268.6,,932.5,899.1,0,1515.6,840.3,294.4,355,0,0,1864.9,0,81.5,5401.9,475.2,0,0,1246.3,1721.5,896.2,2617.7,2784.2,5401.9,,1,0.11123535,0.88876465,0.386176337,0.372344391,0,0.627655609,0.34799354,0.054499343,0.065717618,0,0,0.345230382,0,0.015087284,1,0.087969048,0,0,0.230715119,0.318684167,0.165904589,0.484588756,0.515411244,1
GSHD,"Goosehead Insurance, Inc",USD,6411,-,"Goosehead Insurance, Inc. operates as a holding company for Goosehead Financial, LLC that provides personal lines insurance agency services in the United States.",Insurance Agencies and Brokerages ,United States,TX,Westlake,CIK_0001726978,www.goosehead.com,1956.70963,259.833,152.604,,40.982,31.513,0,228.32,14.14,35.203,21.474,0,1.858,67.98,0,71.553,341.457,14.379,0,70.005,5.231,38.967,167.037,335.696,5.761,341.457,,1,0.587315699,0.412684301,0.157724385,0.121281746,0,0.878718254,0.054419569,0.103096437,0.062889324,0,0.005441388,0.199088026,0,0.209552008,1,0.04211072,0,0.205018494,0.015319645,0.114119787,0.489188975,0.983128183,0.016871817,1
AWIN,AERWINS Technologies Inc.,USD,3728,-,AERWINS Technologies Inc. develops and manufactures air mobility platform in Japan.,Fluid Power Valve and Hose Fitting Manufacturing ,Japan,0,Tokyo,CIK_0001855631,aerwins.us,14.71581,3.56128,4.74917,,-24.95849,-25.32517,1.48566,28.88645,-26.26793,0.02517,0.18019,0,0.02704,2.81168,0,0,3.03636,7.93612,0,3.73932,1.41978,11.67577,2.29363,18.00047,-14.96412,3.03636,,1,1.333557036,-0.333557036,-7.008291962,-7.111254942,0.417170231,8.111254942,-7.375979985,0.008289531,0.059344083,0,0.0089054,0.926003504,0,0,1,2.613695346,0,1.23151405,0.467592776,3.845318078,0.75538803,5.928305603,-4.928308896,1
IPA,ImmunoPrecise Antibodies Ltd.,USD,2836,-,"ImmunoPrecise Antibodies Ltd., together with its subsidiaries, operates as a biotherapeutic research and technology company in Canada and internationally.",Biological Product (except Diagnostic) Manufacturing ,Canada,BC,Victoria,CIK_0001715925,www.ipatherapeutics.com,47.56015,22.629,10.577,,-12.689,-15.399,0.31,38.028,-16.021,6.017,4.684,2.452,0,15.406,0,11.864,75.608,2.713,0,0,2.467,7.534,7.422,23.576,52.032,75.608,,1,0.467409077,0.532590923,-0.560740643,-0.680498475,0.013699235,1.680498475,-0.707985329,0.079581526,0.061951116,0.032430431,0,0.203761507,0,0.156914612,1,0.035882446,0,0,0.032628822,0.09964554,0.098164215,0.311818855,0.688181145,1
CODX,"Co-Diagnostics, Inc.",USD,2835,-,"Co-Diagnostics, Inc., a molecular diagnostics company, develops, manufactures, and sells reagents used for diagnostic tests that function through the detection and/or analysis of nucleic acid molecules in the United States and internationally.",Pharmaceutical Preparation Manufacturing ,United States,UT,Salt Lake City,CIK_0001692415,www.codiagnostics.com,-19.71139,4.65834,1.73288,,-40.39762,-41.61384,0,46.27218,-42.56189,10.2399,0.8067,4.52043,0,71.31078,0,5.84068,108.68174,1.41644,0,0,1.06015,5.09774,1.84406,9.19219,99.48955,108.68174,,1,0.371995174,0.628004826,-8.672106373,-8.933190793,0,9.933190793,-9.136707497,0.094219139,0.00742259,0.04159328,0,0.656143157,0,0.053741134,1,0.013032916,0,0,0.009754629,0.046905211,0.016967524,0.084578973,0.915421027,1
ORMP,Oramed Pharmaceuticals Inc.,USD,2836,-,Oramed Pharmaceuticals Inc. engages in the research and development of pharmaceutical solutions for the treatment of diabetes and for the use of orally ingestible capsules or pills for delivery of polypeptides.,Biological Product (except Diagnostic) Manufacturing ,United States,NY,New York,CIK_0001176309,www.oramed.com,-9.28996,2.021,0,,-21.472,-21.632,-0.009,23.653,-16.354,5.468,0,0,0,175.705,0,1.691,230.893,2.561,0,0,0,78.175,4.099,82.663,148.23,230.893,,1,0,1,-10.62444334,-10.70361207,-0.004453241,11.70361207,-8.092033647,0.023681965,0,0,0,0.760980194,0,0.007323739,1,0.011091718,0,0,0,0.338576743,0.017752812,0.358014318,0.641985682,1
TIO,"Tingo Group, Inc.",USD,3812,-,"Tingo Group, Inc. engages in the financial technology and agri-fintech businesses delivering financial inclusion and financial upliftment to rural farming communities in Africa, Southeast Asia, and the Middle East. The company operates through Verticals and Technology, Online Stock Trading, Comprehensive Platform Service segments.","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",United States,NJ,Montvale,CIK_0000854800,www.tingogroup.com,883.64955,2525.393,1596.377,,900.283,578.086,2.03,1947.307,277.618,53.418,359.185,0.143,193.186,622.104,0,812.419,1929.161,262.53,0,210.483,194.409,457.793,106.146,774.804,1154.357,1929.161,,1,0.632130128,0.367869872,0.356492237,0.228909322,0.000803835,0.771090678,0.109930613,0.027689757,0.186187156,7.41255E-05,0.100139905,0.322473863,0,0.421125557,1,0.136085065,0,0.109105979,0.10077386,0.237301604,0.055021846,0.401627443,0.598372557,1
JSM,Navient Corporation SR NT 6% 121543,USD,6111,-,"Navient Corporation provides technology-enabled education finance and business processing solutions for education, health care, and government clients in the United States.",Real Estate Credit ,United States,DE,Wilmington,CIK_0001593538,www.navient.com,0,1156,800,,-,346,0,810,228,977,56914,0,1875,62067,0,67,63414,0,0,54907,0,4913,696,60516,2898,63414,,1,0.692041522,0.307958478,-,0.299307958,0,0.700692042,0.197231834,0.015406693,0.897498975,0,0.029567603,0.978758634,0,0.001056549,1,0,0,0.865849812,0,0.077475006,0.010975494,0.954300312,0.045699688,1
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",USD,2834,-,"Reviva Pharmaceuticals Holdings, Inc., a clinical-stage biopharmaceutical company, discovers, develops, and commercializes next-generation therapeutics for diseases targeting unmet medical needs in the areas of central nervous system, respiratory, cardiovascular, metabolic, and inflammatory diseases.",Pharmaceutical Preparation Manufacturing ,United States,CA,Cupertino,"CIK_0001552470,CIK_0001742927",revivapharma.com,139.03078,0,0,,0,-37.28916,-0.77118,37.28916,-37.65471,4.9723,0,0,0,5.38704,0,0,5.38704,5.27838,0,0,0,13.03306,0.87341,13.90647,-8.51943,5.38704,,-,-,-,-,-,-,-,-,0.923011524,0,0,0,1,0,0,1,0.979829368,0,0,0,2.419336036,0.162131709,2.581467745,-1.581467745,1
PACB,"Pacific Biosciences of California, Inc.",USD,3826,-,"Pacific Biosciences of California, Inc. designs, develops, and manufactures sequencing systems to resolve genetically complex problems.",Analytical Laboratory Instrument Manufacturing ,United States,CA,Menlo Park,CIK_0001299130,www.pacb.com,2792.32553,200.521,142.322,,-293.73567,-306.929,29.248,507.45,-306.735,385.648,30.486,68.256,0.3,882.297,0,74.95,1898.354,16.106,0,892.486,123.291,183.961,24.064,1134.611,763.743,1898.354,,1,0.709761072,0.290238928,-1.464862383,-1.530657637,0.145860035,2.530657637,-1.529690157,0.203148622,0.016059175,0.035955359,0.000158032,0.464769479,0,0.039481572,1,0.008484192,0,0.470136761,0.064946264,0.09690553,0.012676245,0.597681465,0.402318535,1
LGIH,"LGI Homes, Inc.",USD,1531,-,"LGI Homes, Inc. designs, constructs, and sells homes.",New Housing For-Sale Builders ,United States,TX,The Woodlands,CIK_0001580670,www.lgihomes.com,4286.46066,2358.58,1809.901,,242.155,239.747,14.065,2118.833,199.227,46.981,35.651,3056.966,0,3139.598,0,46.872,3335.011,67.289,0,1190.366,29.321,120.902,216.196,1532.336,1802.675,3335.011,,1,0.767368925,0.232631075,0.102669827,0.101648873,0.005963334,0.898351127,0.084469045,0.01408721,0.01068992,0.916628461,0,0.941405591,0,0.014054526,1,0.020176545,0,0.356930157,0.008791875,0.036252354,0.064826173,0.459469549,0.540530451,1
IDXX,"IDEXX Laboratories, Inc.",USD,2835,-,"IDEXX Laboratories, Inc. develops, manufactures, and distributes products primarily for the companion animal veterinary, livestock and poultry, dairy, and water testing markets worldwide.",Pharmaceutical Preparation Manufacturing ,United States,ME,Westbrook,CIK_0000874716,www.idexx.com,46906.7242,3660.953,1470.983,,1212.036,1097.128,0,2563.825,845.042,331.696,503.653,393.974,86.82,1384.23,0,804.883,3086.404,112.609,0,619.221,88.139,970.193,98.113,1788.997,1297.407,3086.404,,1,0.401803301,0.598196699,0.331071172,0.299683716,0,0.700316284,0.230825689,0.107470053,0.163184405,0.127648228,0.028129824,0.448492809,0,0.260783423,1,0.036485502,0,0.200628628,0.028557182,0.314344136,0.031788774,0.579637986,0.420362014,1
FTHM,Fathom Holdings Inc.,USD,6531,-,"Fathom Holdings Inc. provides cloud-based real estate brokerage services in the South, Atlantic, Southwest, and Western parts of the United States.",Lessors of Residential Buildings and Dwellings ,United States,NC,Cary,CIK_0001753162,www.fathomrealty.com,83.58562,354.592,326.304,,-21.403,-25.23,-0.295,379.822,-25.49,6.616,4.124,0,7.298,21.642,0,6.852,78.797,3.402,0,3.451,1.708,15.125,0.312,22.993,55.804,78.797,,1,0.920223807,0.079776193,-0.060359512,-0.071152197,-0.000831942,1.071152197,-0.071885435,0.083962587,0.052337018,0,0.092617739,0.274655126,0,0.086957625,1,0.043174233,0,0.043796084,0.021675952,0.191948932,0.003959542,0.291800449,0.708199551,1
MVLA,Movella Holdings Inc.,USD,3829,-,"Movella Holdings Inc. operates as a full-stack provider of sensors, software, and analytics that enable the digitization of movement in the United States.",Totalizing Fluid Meter and Counting Device Manufacturing ,United States,NV,Henderson,CIK_0001839132,www.movella.com,34.661,39.907,19.757,,-15.439,-20.664,2.077,60.571,-17.958,51.008,5.517,6.348,0.319,68.277,0,5.826,140.517,2.428,0,50.458,4.982,12.05,2.948,68.066,72.451,140.517,,1,0.495076052,0.504923948,-0.386874483,-0.517803894,0.052046007,1.517803894,-0.449996241,0.363002341,0.039262153,0.045176029,0.002270188,0.485898503,0,0.041461176,1,0.017279048,0,0.359088224,0.035454785,0.085754749,0.020979668,0.484396906,0.515603094,1
MRGIX,BMO Strategic Income Fund - Y,USD,9121,-,Quebec is a province in Canada.,Legislative Bodies ,Canada,QC,Québec,CIK_0000722803,www.gouv.qc.ca,0,144299,121635,,27374,22276,-16167,122023,-3002,9981,25114,1422,8392,54213,0,91799,228442,7405,0,247720,28576,78716,16388,343321,-114879,228442,,1,0.842937234,0.157062766,0.189703324,0.154373904,-0.112038198,0.845626096,-0.020804025,0.043691615,0.109936001,0.006224775,0.036735802,0.237316255,0,0.401848172,1,0.03241523,0,1.084389035,0.125090833,0.344577617,0.071738122,1.502880381,-0.502880381,1
NAII,"Natural Alternatives International, Inc.",USD,2834,-,"Natural Alternatives International, Inc. engages in formulating, manufacturing, and marketing nutritional supplements in the United States, Europe, Australia, Asia, Mexico, and Canada.",Pharmaceutical Preparation Manufacturing ,United States,CA,Carlsbad,CIK_0000787253,www.nai-online.com,79.36295,127.764,117.667,,1.181,-3.371,-0.066,131.135,-4.109,16.749,9.751,23.304,0.787,57.754,0,99.622,160.252,7.614,0,9.154,1.321,15.437,1.068,71.437,88.815,160.252,,1,0.920971479,0.079028521,0.009243605,-0.026384584,-0.000516577,1.026384584,-0.032160859,0.104516636,0.060847915,0.145420962,0.004911015,0.360394878,0,0.621658388,1,0.047512668,0,0.057122532,0.008243267,0.096329531,0.006664503,0.445779148,0.554220852,1
ESSA,"ESSA Bancorp, Inc.",USD,6036,-,"ESSA Bancorp, Inc. operates as a bank holding company for ESSA Bank & Trust that provides a range of financial services to individuals, families, and businesses in Pennsylvania.",Savings Institutions and Other Depository Credit Intermediation ,United States,PA,Stroudsburg,CIK_0001382230,www.essabank.com,0,68.557,0,,-,24.257,-1.813,44.3,18.047,85.402,0,3.311,0.25,108.625,0,18.959,2293.246,1661.016,0,0,0,2046.235,22.003,2073.538,219.708,2293.246,,1,0,1,-,0.353822367,-0.026445148,0.646177633,0.263240807,0.037240662,0,0.001443805,0.000109016,0.047367356,0,0.008267321,1,0.724307815,0,0,0,0.892287613,0.009594697,0.904193445,0.095806555,1
GTBP,"GT Biopharma, Inc.",USD,2834,-,"GT Biopharma, Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of immuno-oncology products based on its proprietary Tri-specific Killer Engager (TriKE) fusion protein immune cell engager technology platform.",Pharmaceutical Preparation Manufacturing ,United States,CA,Brisbane,CIK_0000109657,www.gtbiopharma.com,-5.35916,0,0,,0,-16.186,4.834,16.186,-10.219,2.648,0,0,0,16.052,0,0.087,16.148,3.97,0,0,0,5.09,1.053,6.143,10.005,16.148,,-,-,-,-,-,-,-,-,0.163983156,0,0,0,0.994054991,0,0.005387664,1,0.245850879,0,0,0,0.315209314,0.065209314,0.380418628,0.619581372,1
CAKE,The Cheesecake Factory Incorporated,USD,5812,-,The Cheesecake Factory Incorporated engages in restaurant business.,Theater Companies and Dinner Theaters ,United States,CA,Calabasas,"CIK_0001032174,CIK_0000887596",www.thecheesecakefactory.com,3574.43004,3455.296,2060.489,,225.493,132.353,0,3322.943,85.372,63.987,70.236,58.672,0,272.376,0,2085.014,2776.89,53.392,0,469.543,180.2,618.52,120.364,2455.246,321.644,2776.89,,1,0.596327782,0.403672218,0.065260111,0.038304388,0,0.961695612,0.024707579,0.023042684,0.025293044,0.021128673,0,0.098086709,0,0.75084501,1,0.019227265,0,0.169089521,0.06489274,0.222738387,0.043344893,0.884171141,0.115828859,1
CPRX,"Catalyst Pharmaceuticals, Inc.",USD,2834,-,"Catalyst Pharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on developing and commercializing therapies for people with rare debilitating, chronic neuromuscular, and neurological diseases in the United States.",Pharmaceutical Preparation Manufacturing ,United States,FL,Coral Gables,CIK_0001369568,www.catalystpharma.com,1674.81058,348.393,142.624,,100.274,75.921,0,272.472,62.037,120.971,48.195,9.035,0.206,192.017,0,3.761,413.211,4.598,0,0,21.793,57.806,3.575,64.663,348.548,413.211,,1,0.409376767,0.590623233,0.287818642,0.217917696,0,0.782082304,0.178066149,0.292758421,0.116635327,0.021865342,0.000498535,0.464694793,0,0.009101887,1,0.011127487,0,0,0.05274061,0.13989463,0.008651754,0.156489058,0.843510942,1
MBLY,Mobileye Global Inc.,USD,7372,-,Mobileye Global Inc. engages in the development and deployment of advanced driver assistance systems (ADAS) and autonomous driving technologies and solutions worldwide.,Manufacturing and Reproducing Magnetic and Optical Media ,Israel,0,Jerusalem,CIK_0001910139,www.mobileye.com,33747.37748,2079,1032,,74,-33,49,2112,-27,1193,281,354,80,1908,0,426,15505,221,0,0,91,391,202,632,14873,15505,,1,0.496392496,0.503607504,0.035594036,-0.015873016,0.023569024,1.015873016,-0.012987013,0.076942922,0.018123186,0.022831345,0.005159626,0.123057078,0,0.027475008,1,0.014253467,0,0,0.005869074,0.025217672,0.013028055,0.040761045,0.959238955,1
BLRX,BioLineRx Ltd.,USD,2836,-,"BioLineRx Ltd., a pre-commercial-stage biopharmaceutical company, focuses on oncology.",Biological Product (except Diagnostic) Manufacturing ,Israel,0,Modi’in,"CIK_0001704335,CIK_0001498403",www.biolinerx.com,366.80836,0,0,,-38.93,-39.526,-10.261,39.526,-52.461,7.727,0,1.352,0,28.805,0,2.023,52.855,8.438,0,8.458,2.683,14.725,15.287,39.721,13.134,52.855,,-,-,-,-,-,-,-,-,0.146192413,0,0.025579415,0,0.544981553,0,0.038274525,1,0.15964431,0,0.160022704,0.050761517,0.278592375,0.289225239,0.751508845,0.248491155,1
HCDI,"Harbor Custom Development, Inc.",USD,1531,-,"Harbor Custom Development, Inc. operates as a real estate development company in Washington, California, Texas, and Florida.",New Housing For-Sale Builders ,United States,WA,Tacoma,CIK_0001784567,www.harborcustomdev.com,214.10454,39.3602,57.5875,,-29.5035,-30.1488,0.0548,69.509,-38.1561,8.0513,0.1841,0,0.5976,11.6481,0,3.4724,223.981,6.2114,0,14.8581,5.865,154.6962,0.3684,172.5285,51.4525,223.981,,1,1.463089618,-0.463089618,-0.749576984,-0.765971718,0.001392269,1.765971718,-0.969408184,0.035946353,0.000821945,0,0.002668083,0.052004858,0,0.015503101,1,0.027731817,0,0.06633643,0.026185257,0.690666619,0.001644782,0.770281854,0.229718146,1
AZTA,"Azenta, Inc.",USD,8731,-,"Azenta, Inc. provides biological and chemical compound sample exploration and management solutions for the life sciences market in North America, Africa, China, the United Kingdom, rest of Europe, the Asia Pacific, and internationally.",Research and Development in Nanotechnology ,United States,MA,Burlington,CIK_0000933974,www.azenta.com,2572.34936,641.023,380.572,,15.401,-71.868,2.996,712.891,-18.746,678.91,180.735,128.198,17.73,1418.956,0,272.324,2885.72,35.796,0,0,72.243,210.928,78.495,351.22,2534.5,2885.72,,1,0.593694766,0.406305234,0.024025659,-0.112114542,0.004673779,1.112114542,-0.02924388,0.235265376,0.062630817,0.044424962,0.006144047,0.491716452,0,0.094369516,1,0.01240453,0,0,0.025034653,0.073093717,0.027201184,0.12170966,0.87829034,1
GRPH,"Graphite Bio, Inc.",USD,2836,-,"Graphite Bio, Inc., a clinical-stage gene editing company, engages in developing therapies for serious and life-threatening diseases in the United States.",Biological Product (except Diagnostic) Manufacturing ,United States,CA,South San Francisco,CIK_0001815776,graphitebio.com,-28.92422,0,0,,-82.312,-85.259,-0.413,85.259,-126.332,182.988,0,0,0.02,238.783,0,25.729,266.228,3.753,0,0,0.034,12.537,0,62.209,204.019,266.228,,-,-,-,-,-,-,-,-,0.687335667,0,0,7.51236E-05,0.89691167,0,0.096642727,1,0.014096939,0,0,0.00012771,0.047091215,0,0.233668134,0.766331866,1
CCRC,"China Customer Relations Centers, Inc.",USD,7374,-,"China Customer Relations Centers, Inc. provides business process outsourcing services for transportation, e-commerce, banks and insurance, and telecommunications companies in the People’s Republic of China.","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",China,0,Taian,CIK_0001620664,www.ccrc.com,0,240.31602,188.72525,,27.88847,23.81789,1.67834,216.49814,24.8608,43.66954,63.49389,0,2.71213,114.87058,0,25.14991,143.95786,4.57625,0,0,3.00148,40.80572,0,48.44206,95.5158,143.95786,,1,0.785321137,0.214678863,0.116049151,0.099110704,0.006983887,0.900889337,0.103450448,0.303349466,0.441058863,0,0.018839749,0.797945871,0,0.174703278,1,0.031788817,0,0,0.020849713,0.283456006,0,0.336501668,0.663498332,1
AMKR,"Amkor Technology, Inc.",USD,3674,-,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and Asia Pacific.",Semiconductor and Related Device Manufacturing ,United States,AZ,Tempe,CIK_0001047127,amkor.com,8336.05415,6503.065,5559.912,,1100.893,469.385,3.359,6033.68,359.813,735.733,1411.393,477.935,61.579,3125.642,0,3450.982,6734.849,827.854,0,947.227,346.762,1602.09,207.929,2856.75,3878.099,6734.849,,1,0.854967927,0.145032073,0.169288328,0.072179042,0.000516526,0.927820958,0.055329756,0.109242687,0.209565649,0.070964472,0.009143338,0.464099789,0,0.512406737,1,0.122920944,0,0.140645618,0.051487717,0.237880612,0.030873595,0.424174321,0.575825679,1
ATNX,"Athenex, Inc.",USD,2836,-,"Athenex, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of drugs for the treatment of cancer.",Biological Product (except Diagnostic) Manufacturing ,United States,NY,Buffalo,CIK_0001300699,www.athenex.com,0,102.821,76.118,,-71.813,-74.135,0,176.956,-103.427,30.437,27.865,42.654,12.324,124.929,0,6.043,204.055,33.682,0,86.745,11.191,114.879,23.468,228.236,-24.181,204.055,,1,0.740296243,0.259703757,-0.698427364,-0.721010299,0,1.721010299,-1.005893738,0.149160765,0.136556321,0.209031879,0.060395482,0.612231996,0,0.029614565,1,0.165063341,0,0.425105976,0.054843057,0.562980569,0.115008209,1.118502365,-0.118502365,1
PROF,Profound Medical Corp.,USD,7372,-,"Profile Systems & Software SA develops software solutions for the banking and investment management industry in Europe, the Middle East, America, Asia, and Africa.",Manufacturing and Reproducing Magnetic and Optical Media ,Greece,0,Athens,0,www.profilesw.com,97.16034,27.36544,14.41146,,3.65524,4.10802,0.11158,23.25742,3.71388,8.77928,7.604,0.07986,0,30.20339,0,5.67554,49.42016,1.58647,0,0.85714,6.60751,17.76525,1.08197,20.50124,28.91892,49.42016,,1,0.526629939,0.473370061,0.133571395,0.150117082,0.004077406,0.849882918,0.135714244,0.177645722,0.153864334,0.00161594,0,0.611155245,0,0.114842607,1,0.032101677,0,0.017343934,0.1337007,0.359473745,0.021893292,0.414835565,0.585164435,1
CCLP,CSI Compressco LP,USD,1382,-,"CSI Compressco LP provides contract services for natural gas compression and treating in the United States, Latin America, Canada, Egypt, and internationally.",Support Activities for Oil and Gas Operations ,United States,TX,The Woodlands,CIK_0001449488,www.csicompressco.com,864.9969,381.826,213.503,,124.287,47.435,1.083,334.391,-10.275,15.502,55.472,46.715,0,124.812,0,547.091,692.239,22.408,0,626.873,3.955,82.475,1.034,726.886,-34.647,692.239,,1,0.559163074,0.440836926,0.325506906,0.12423198,0.00283637,0.87576802,-0.026910163,0.022394,0.080134173,0.067483918,0,0.18030189,0,0.790320973,1,0.032370323,0,0.905573075,0.005713345,0.119142377,0.001493704,1.050050633,-0.050050633,1
SNPS,"Synopsys, Inc.",USD,7372,-,"Synopsys, Inc. provides electronic design automation software products used to design and test integrated circuits.",Manufacturing and Reproducing Magnetic and Optical Media ,United States,CA,Mountain View,CIK_0000883241,www.synopsys.com,77393.80735,5842.619,1147.329,,1516.198,1346.261,-1.444,4496.358,1229.888,1438.913,1336.009,325.59,15.002,3430.624,0,1126.09,10333.131,524.146,0,18.078,1791.761,2985.451,561.266,4148.83,6184.301,10333.131,,1,0.19637238,0.80362762,0.259506567,0.23042081,-0.000247149,0.76957919,0.210502858,0.139252372,0.129293725,0.031509327,0.001451835,0.332002372,0,0.108978585,1,0.0507248,0,0.001749518,0.173399621,0.28892027,0.054317128,0.401507539,0.598492461,1
PSTX,"Poseida Therapeutics, Inc.",USD,2836,-,"Poseida Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing therapeutics for patients with high unmet medical needs.",Biological Product (except Diagnostic) Manufacturing ,United States,CA,San Diego,CIK_0001661460,poseida.com,168.72112,49.759,148.631,,-131.285,-136.816,14.195,186.575,-131.399,25.503,8.672,0,0,252.664,0,42.953,302.252,2.542,0,58.491,48.573,76.973,21.265,178.592,123.66,302.252,,1,2.987017424,-1.987017424,-2.638417171,-2.749572942,0.285275026,3.749572942,-2.640708214,0.084376613,0.028691291,0,0,0.835938224,0,0.142109895,1,0.008410201,0,0.19351733,0.160703651,0.254664982,0.0703552,0.590871194,0.409128806,1
YELL,Yellow Corporation,USD,4213,-,,"General Freight Trucking, Long-Distance, Truckload ",United States,TN,Nashville,CIK_0000716006,www.myyellow.com,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
