NAICS,LineItems,Value,Percent,ReportID,Industry
311811,Operating Expenses,846855,50%,Income Statement,Retail Bakeries
311811,Operating Profit,212141.4545,12%,Income Statement,Retail Bakeries
311811,Other Expenses,-11975.72727,-1%,Income Statement,Retail Bakeries
311811,Profit Before Taxes,224117.1818,13%,Income Statement,Retail Bakeries
311811,EBITDA,258333.5455,15%,Income Statement,Retail Bakeries
311812,Revenue,12954344.83,100%,Income Statement,Commercial Bakeries
311812,COGS,7448748.276,58%,Income Statement,Commercial Bakeries
311812,Gross Profit,5505596.552,43%,Income Statement,Commercial Bakeries
311812,Operating Expenses,5233555.31,40%,Income Statement,Commercial Bakeries
311812,Operating Profit,272041.2414,2%,Income Statement,Commercial Bakeries
311812,Other Expenses,90680.41379,1%,Income Statement,Commercial Bakeries
311812,Profit Before Taxes,181360.8276,1%,Income Statement,Commercial Bakeries
311812,EBITDA,816123.7241,6%,Income Statement,Commercial Bakeries
311919,Revenue,42375714.29,100%,Income Statement,Other Snack Food Manufacturing
311919,COGS,29027364.29,69%,Income Statement,Other Snack Food Manufacturing
311919,Gross Profit,13348350,32%,Income Statement,Other Snack Food Manufacturing
311919,Operating Expenses,11229564.29,27%,Income Statement,Other Snack Food Manufacturing
311919,Operating Profit,2118785.714,5%,Income Statement,Other Snack Food Manufacturing
311919,Other Expenses,678011.4286,2%,Income Statement,Other Snack Food Manufacturing
311919,Profit Before Taxes,1483150,4%,Income Statement,Other Snack Food Manufacturing
311919,EBITDA,3856190,9%,Income Statement,Other Snack Food Manufacturing
311920,Revenue,11671055.56,100%,Income Statement,Coffee and Tea Manufacturing
311920,COGS,6314041.056,54%,Income Statement,Coffee and Tea Manufacturing
311920,Gross Profit,5357014.5,46%,Income Statement,Coffee and Tea Manufacturing
311920,Operating Expenses,4761790.667,41%,Income Statement,Coffee and Tea Manufacturing
311920,Operating Profit,595223.8333,5%,Income Statement,Coffee and Tea Manufacturing
311920,Other Expenses,23342.11111,0%,Income Statement,Coffee and Tea Manufacturing
311920,Profit Before Taxes,571881.7222,5%,Income Statement,Coffee and Tea Manufacturing
311920,EBITDA,1085408.167,9%,Income Statement,Coffee and Tea Manufacturing
311942,Revenue,12525357.14,100%,Income Statement,Spice and Extract Manufacturing
311942,COGS,7452587.5,60%,Income Statement,Spice and Extract Manufacturing
311942,Gross Profit,5072769.643,41%,Income Statement,Spice and Extract Manufacturing
311942,Operating Expenses,4634382.143,37%,Income Statement,Spice and Extract Manufacturing
311942,Operating Profit,425862.1429,3%,Income Statement,Spice and Extract Manufacturing
311942,Other Expenses,25050.71429,0%,Income Statement,Spice and Extract Manufacturing
311942,Profit Before Taxes,400811.4286,3%,Income Statement,Spice and Extract Manufacturing
311942,EBITDA,588691.7857,5%,Income Statement,Spice and Extract Manufacturing
311991,Revenue,13168800,100%,Income Statement,Perishable Prepared Food Manufacturing
311991,COGS,8902108.8,68%,Income Statement,Perishable Prepared Food Manufacturing
311991,Gross Profit,4266691.2,32%,Income Statement,Perishable Prepared Food Manufacturing
311991,Operating Expenses,3779445.6,29%,Income Statement,Perishable Prepared Food Manufacturing
311991,Operating Profit,487245.6,4%,Income Statement,Perishable Prepared Food Manufacturing
311991,Other Expenses,79012.8,1%,Income Statement,Perishable Prepared Food Manufacturing
311991,Profit Before Taxes,408232.8,3%,Income Statement,Perishable Prepared Food Manufacturing
311991,EBITDA,1053504,8%,Income Statement,Perishable Prepared Food Manufacturing
311999,Revenue,7927333.333,100%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,COGS,5779026,73%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,Gross Profit,2148307.333,27%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,Operating Expenses,2021470,26%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,Operating Profit,126837.3333,2%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,Other Expenses,23782,0%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,Profit Before Taxes,103055.3333,1%,Income Statement,All Other Miscellaneous Food Manufacturing
311999,EBITDA,293311.3333,4%,Income Statement,All Other Miscellaneous Food Manufacturing
312111,Revenue,52880083.33,100%,Income Statement,Soft Drink Manufacturing
312111,COGS,34107653.75,65%,Income Statement,Soft Drink Manufacturing
312111,Gross Profit,18772429.58,36%,Income Statement,Soft Drink Manufacturing
312111,Operating Expenses,14383382.67,27%,Income Statement,Soft Drink Manufacturing
312111,Operating Profit,4389046.917,8%,Income Statement,Soft Drink Manufacturing
312111,Other Expenses,-793201.25,-2%,Income Statement,Soft Drink Manufacturing
312111,Profit Before Taxes,5182248.167,10%,Income Statement,Soft Drink Manufacturing
312111,EBITDA,6028329.5,11%,Income Statement,Soft Drink Manufacturing
312120,Revenue,1059428.571,100%,Income Statement,Breweries
312120,COGS,367621.7143,35%,Income Statement,Breweries
312120,Gross Profit,691806.8571,65%,Income Statement,Breweries
312120,Operating Expenses,637776,60%,Income Statement,Breweries
312120,Operating Profit,54030.85714,5%,Income Statement,Breweries
312120,Other Expenses,6356.571429,1%,Income Statement,Breweries
312120,Profit Before Taxes,47674.28571,5%,Income Statement,Breweries
312120,EBITDA,104883.4286,10%,Income Statement,Breweries
312130,Revenue,1925083.333,100%,Income Statement,Wineries
312130,COGS,448544.4167,23%,Income Statement,Wineries
312130,Gross Profit,1476538.917,77%,Income Statement,Wineries
312130,Operating Expenses,1397610.5,73%,Income Statement,Wineries
312130,Operating Profit,78928.41667,4%,Income Statement,Wineries
312130,Other Expenses,67377.91667,4%,Income Statement,Wineries
312130,Profit Before Taxes,9625.416667,1%,Income Statement,Wineries
312130,EBITDA,150156.5,8%,Income Statement,Wineries
312140,Revenue,4608916.667,100%,Income Statement,Distilleries
312140,COGS,1728343.75,38%,Income Statement,Distilleries
312140,Gross Profit,2880572.917,63%,Income Statement,Distilleries
312140,Operating Expenses,2668562.75,58%,Income Statement,Distilleries
312140,Operating Profit,212010.1667,5%,Income Statement,Distilleries
312140,Other Expenses,244272.5833,5%,Income Statement,Distilleries
312140,Profit Before Taxes,-27653.5,-1%,Income Statement,Distilleries
312140,EBITDA,437847.0833,10%,Income Statement,Distilleries
313210,Revenue,42316636.36,100%,Income Statement,Broadwoven Fabric Mills
313210,COGS,32456860.09,77%,Income Statement,Broadwoven Fabric Mills
313210,Gross Profit,9859776.273,23%,Income Statement,Broadwoven Fabric Mills
313210,Operating Expenses,8801860.364,21%,Income Statement,Broadwoven Fabric Mills
313210,Operating Profit,1057915.909,3%,Income Statement,Broadwoven Fabric Mills
313210,Other Expenses,-465483,-1%,Income Statement,Broadwoven Fabric Mills
313210,Profit Before Taxes,1523398.909,4%,Income Statement,Broadwoven Fabric Mills
313210,EBITDA,3427647.545,8%,Income Statement,Broadwoven Fabric Mills
313310,Revenue,31641000,100%,Income Statement,Textile and Fabric Finishing Mills
313310,COGS,23572545,75%,Income Statement,Textile and Fabric Finishing Mills
313310,Gross Profit,8068455,26%,Income Statement,Textile and Fabric Finishing Mills
313310,Operating Expenses,6707892,21%,Income Statement,Textile and Fabric Finishing Mills
313310,Operating Profit,1360563,4%,Income Statement,Textile and Fabric Finishing Mills
313310,Other Expenses,506256,2%,Income Statement,Textile and Fabric Finishing Mills
313310,Profit Before Taxes,854307,3%,Income Statement,Textile and Fabric Finishing Mills
313310,EBITDA,2752767,9%,Income Statement,Textile and Fabric Finishing Mills
314110,Revenue,39603090.91,100%,Income Statement,Carpet and Rug Mills
314110,COGS,25425184.36,64%,Income Statement,Carpet and Rug Mills
314110,Gross Profit,14177906.55,36%,Income Statement,Carpet and Rug Mills
314110,Operating Expenses,11722514.91,30%,Income Statement,Carpet and Rug Mills
314110,Operating Profit,2455391.636,6%,Income Statement,Carpet and Rug Mills
314110,Other Expenses,871268,2%,Income Statement,Carpet and Rug Mills
314110,Profit Before Taxes,1584123.636,4%,Income Statement,Carpet and Rug Mills
314110,EBITDA,4237530.727,11%,Income Statement,Carpet and Rug Mills
314999,Revenue,13763666.67,100%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,COGS,9180365.667,67%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,Gross Profit,4583301,33%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,Operating Expenses,3743717.333,27%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,Operating Profit,839583.6667,6%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,Other Expenses,55054.66667,0%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,Profit Before Taxes,784529,6%,Income Statement,All Other Miscellaneous Textile Product Mills
314999,EBITDA,1321312,10%,Income Statement,All Other Miscellaneous Textile Product Mills
315210,Revenue,127641090.9,100%,Income Statement,Cut and Sew Apparel Contractors
315210,COGS,72244857.45,57%,Income Statement,Cut and Sew Apparel Contractors
315210,Gross Profit,55396233.45,43%,Income Statement,Cut and Sew Apparel Contractors
315210,Operating Expenses,39824020.36,31%,Income Statement,Cut and Sew Apparel Contractors
315210,Operating Profit,15572213.09,12%,Income Statement,Cut and Sew Apparel Contractors
315210,Other Expenses,1148769.818,1%,Income Statement,Cut and Sew Apparel Contractors
315210,Profit Before Taxes,14423443.27,11%,Income Statement,Cut and Sew Apparel Contractors
315210,EBITDA,17103906.18,13%,Income Statement,Cut and Sew Apparel Contractors
315250,Revenue,13181391.3,100%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,COGS,7737476.696,59%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,Gross Profit,5443914.609,41%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,Operating Expenses,4732119.478,36%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,Operating Profit,711795.1304,5%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,Other Expenses,-13181.3913,0%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,Profit Before Taxes,724976.5217,6%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315250,EBITDA,1001785.739,8%,Income Statement,Cut and Sew Apparel Manufacturing (except Contractors)
315990,Revenue,4133526.316,100%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,COGS,2372644.105,57%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,Gross Profit,1760882.211,43%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,Operating Expenses,1558339.421,38%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,Operating Profit,202542.7895,5%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,Other Expenses,33068.21053,1%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,Profit Before Taxes,169474.5789,4%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
315990,EBITDA,252145.1053,6%,Income Statement,Apparel Accessories and Other Apparel Manufacturing
321113,Revenue,13909875,100%,Income Statement,Sawmills
321113,COGS,10571505,76%,Income Statement,Sawmills
321113,Gross Profit,3338370,24%,Income Statement,Sawmills
321113,Operating Expenses,2503777.5,18%,Income Statement,Sawmills
321113,Operating Profit,834592.5,6%,Income Statement,Sawmills
321113,Other Expenses,97369.125,1%,Income Statement,Sawmills
321113,Profit Before Taxes,751133.25,5%,Income Statement,Sawmills
321113,EBITDA,1363167.75,10%,Income Statement,Sawmills
321211,Revenue,11456428.57,100%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,COGS,7641437.857,67%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,Gross Profit,3814990.714,33%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,Operating Expenses,3459841.429,30%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,Operating Profit,355149.2857,3%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,Other Expenses,80195,1%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,Profit Before Taxes,274954.2857,2%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321211,EBITDA,515539.2857,5%,Income Statement,Hardwood Veneer and Plywood Manufacturing
321911,Revenue,14345631.58,100%,Income Statement,Wood Window and Door Manufacturing
321911,COGS,9037747.895,63%,Income Statement,Wood Window and Door Manufacturing
321911,Gross Profit,5307883.684,37%,Income Statement,Wood Window and Door Manufacturing
321911,Operating Expenses,3686827.316,26%,Income Statement,Wood Window and Door Manufacturing
321911,Operating Profit,1621056.368,11%,Income Statement,Wood Window and Door Manufacturing
321911,Other Expenses,-43036.89474,0%,Income Statement,Wood Window and Door Manufacturing
321911,Profit Before Taxes,1664093.263,12%,Income Statement,Wood Window and Door Manufacturing
321911,EBITDA,1907969,13%,Income Statement,Wood Window and Door Manufacturing
321918,Revenue,12262500,100%,Income Statement,Other Millwork (including Flooring)
321918,COGS,7774425,63%,Income Statement,Other Millwork (including Flooring)
321918,Gross Profit,4488075,37%,Income Statement,Other Millwork (including Flooring)
321918,Operating Expenses,3727800,30%,Income Statement,Other Millwork (including Flooring)
321918,Operating Profit,760275,6%,Income Statement,Other Millwork (including Flooring)
321918,Other Expenses,0,0%,Income Statement,Other Millwork (including Flooring)
321918,Profit Before Taxes,760275,6%,Income Statement,Other Millwork (including Flooring)
321918,EBITDA,1226250,10%,Income Statement,Other Millwork (including Flooring)
321920,Revenue,14886500,100%,Income Statement,Wood Container and Pallet Manufacturing
321920,COGS,9572019.5,64%,Income Statement,Wood Container and Pallet Manufacturing
321920,Gross Profit,5314480.5,36%,Income Statement,Wood Container and Pallet Manufacturing
321920,Operating Expenses,3974695.5,27%,Income Statement,Wood Container and Pallet Manufacturing
321920,Operating Profit,1339785,9%,Income Statement,Wood Container and Pallet Manufacturing
321920,Other Expenses,44659.5,0%,Income Statement,Wood Container and Pallet Manufacturing
321920,Profit Before Taxes,1280239,9%,Income Statement,Wood Container and Pallet Manufacturing
321920,EBITDA,1890585.5,13%,Income Statement,Wood Container and Pallet Manufacturing
321992,Revenue,16636100,100%,Income Statement,Prefabricated Wood Building Manufacturing
321992,COGS,10414198.6,63%,Income Statement,Prefabricated Wood Building Manufacturing
321992,Gross Profit,6221901.4,37%,Income Statement,Prefabricated Wood Building Manufacturing
321992,Operating Expenses,4475110.9,27%,Income Statement,Prefabricated Wood Building Manufacturing
321992,Operating Profit,1746790.5,11%,Income Statement,Prefabricated Wood Building Manufacturing
321992,Other Expenses,-33272.2,0%,Income Statement,Prefabricated Wood Building Manufacturing
321992,Profit Before Taxes,1780062.7,11%,Income Statement,Prefabricated Wood Building Manufacturing
321992,EBITDA,1913151.5,12%,Income Statement,Prefabricated Wood Building Manufacturing
321999,Revenue,10653891.89,100%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,COGS,6690644.108,63%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,Gross Profit,3963247.784,37%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,Operating Expenses,3164205.892,30%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,Operating Profit,799041.8919,8%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,Other Expenses,106538.9189,1%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,Profit Before Taxes,692502.973,7%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
321999,EBITDA,1139966.432,11%,Income Statement,All Other Miscellaneous Wood Product Manufacturing
322211,Revenue,17291047.62,100%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,COGS,12518718.48,72%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,Gross Profit,4772329.143,28%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,Operating Expenses,3475500.571,20%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,Operating Profit,1279537.524,7%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,Other Expenses,-103746.2857,-1%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,Profit Before Taxes,1383283.81,8%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322211,EBITDA,1625358.476,9%,Income Statement,Corrugated and Solid Fiber Box Manufacturing
322212,Revenue,43306384.62,100%,Income Statement,Folding Paperboard Box Manufacturing
322212,COGS,33475835.31,77%,Income Statement,Folding Paperboard Box Manufacturing
322212,Gross Profit,9830549.308,23%,Income Statement,Folding Paperboard Box Manufacturing
322212,Operating Expenses,7015634.308,16%,Income Statement,Folding Paperboard Box Manufacturing
322212,Operating Profit,2814915,7%,Income Statement,Folding Paperboard Box Manufacturing
322212,Other Expenses,519676.6154,1%,Income Statement,Folding Paperboard Box Manufacturing
322212,Profit Before Taxes,2295238.385,5%,Income Statement,Folding Paperboard Box Manufacturing
322212,EBITDA,4720395.923,11%,Income Statement,Folding Paperboard Box Manufacturing
322220,Revenue,13867083.33,100%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,COGS,9596021.667,69%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,Gross Profit,4271061.667,31%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,Operating Expenses,3369701.25,24%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,Operating Profit,901360.4167,7%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,Other Expenses,124803.75,1%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,Profit Before Taxes,776556.6667,6%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322220,EBITDA,1109366.667,8%,Income Statement,Paper Bag and Coated and Treated Paper Manufacturing
322230,Revenue,49070727.27,100%,Income Statement,Stationery Product Manufacturing
322230,COGS,34447650.55,70%,Income Statement,Stationery Product Manufacturing
322230,Gross Profit,14623076.73,30%,Income Statement,Stationery Product Manufacturing
322230,Operating Expenses,10844630.73,22%,Income Statement,Stationery Product Manufacturing
322230,Operating Profit,3778446,8%,Income Statement,Stationery Product Manufacturing
322230,Other Expenses,490707.2727,1%,Income Statement,Stationery Product Manufacturing
322230,Profit Before Taxes,3287738.727,7%,Income Statement,Stationery Product Manufacturing
322230,EBITDA,5250567.818,11%,Income Statement,Stationery Product Manufacturing
322299,Revenue,12073700,100%,Income Statement,All Other Converted Paper Product Manufacturing
322299,COGS,9586517.8,79%,Income Statement,All Other Converted Paper Product Manufacturing
322299,Gross Profit,2487182.2,21%,Income Statement,All Other Converted Paper Product Manufacturing
322299,Operating Expenses,2221560.8,18%,Income Statement,All Other Converted Paper Product Manufacturing
322299,Operating Profit,265621.4,2%,Income Statement,All Other Converted Paper Product Manufacturing
322299,Other Expenses,72442.2,1%,Income Statement,All Other Converted Paper Product Manufacturing
322299,Profit Before Taxes,193179.2,2%,Income Statement,All Other Converted Paper Product Manufacturing
322299,EBITDA,905527.5,8%,Income Statement,All Other Converted Paper Product Manufacturing
323111,Revenue,2730857.143,100%,Income Statement,Commercial Printing (except Screen and Books)
323111,COGS,1622129.143,59%,Income Statement,Commercial Printing (except Screen and Books)
323111,Gross Profit,1108728,41%,Income Statement,Commercial Printing (except Screen and Books)
323111,Operating Expenses,996762.8571,37%,Income Statement,Commercial Printing (except Screen and Books)
323111,Operating Profit,111965.1429,4%,Income Statement,Commercial Printing (except Screen and Books)
323111,Other Expenses,5461.714286,0%,Income Statement,Commercial Printing (except Screen and Books)
323111,Profit Before Taxes,106503.4286,4%,Income Statement,Commercial Printing (except Screen and Books)
323111,EBITDA,188429.1429,7%,Income Statement,Commercial Printing (except Screen and Books)
323113,Revenue,3970000,100%,Income Statement,Commercial Screen Printing
323113,COGS,1576090,40%,Income Statement,Commercial Screen Printing
323113,Gross Profit,2393910,60%,Income Statement,Commercial Screen Printing
323113,Operating Expenses,2250990,57%,Income Statement,Commercial Screen Printing
323113,Operating Profit,142920,4%,Income Statement,Commercial Screen Printing
323113,Other Expenses,27790,1%,Income Statement,Commercial Screen Printing
323113,Profit Before Taxes,115130,3%,Income Statement,Commercial Screen Printing
323113,EBITDA,226290,6%,Income Statement,Commercial Screen Printing
324121,Revenue,15816550,100%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,COGS,10486372.65,66%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,Gross Profit,5330177.35,34%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,Operating Expenses,3906687.85,25%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,Operating Profit,1423489.5,9%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,Other Expenses,63266.2,0%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,Profit Before Taxes,1376039.85,9%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324121,EBITDA,1977068.75,13%,Income Statement,Asphalt Paving Mixture and Block Manufacturing
324191,Revenue,167197555.6,100%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,COGS,120215042.4,72%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,Gross Profit,46982513.11,28%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,Operating Expenses,34108301.33,20%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,Operating Profit,12874211.78,8%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,Other Expenses,-501592.6667,0%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,Profit Before Taxes,13375804.44,8%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
324191,EBITDA,17221348.22,10%,Income Statement,Petroleum Lubricating Oil and Grease Manufacturing
325180,Revenue,45992529.41,100%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,COGS,32884658.53,72%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,Gross Profit,13107870.88,29%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,Operating Expenses,7910715.059,17%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,Operating Profit,5197155.824,11%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,Other Expenses,-137977.5882,0%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,Profit Before Taxes,5335133.412,12%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325180,EBITDA,6852886.882,15%,Income Statement,Other Basic Inorganic Chemical Manufacturing
325199,Revenue,48912812.5,100%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,COGS,35804178.75,73%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,Gross Profit,13108633.75,27%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,Operating Expenses,10124952.19,21%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,Operating Profit,2983681.563,6%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,Other Expenses,-48912.8125,0%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,Profit Before Taxes,3032594.375,6%,Income Statement,All Other Basic Organic Chemical Manufacturing
325199,EBITDA,4304327.5,9%,Income Statement,All Other Basic Organic Chemical Manufacturing
325211,Revenue,15588777.78,100%,Income Statement,Plastics Material and Resin Manufacturing
325211,COGS,10023584.11,64%,Income Statement,Plastics Material and Resin Manufacturing
325211,Gross Profit,5565193.667,36%,Income Statement,Plastics Material and Resin Manufacturing
325211,Operating Expenses,4131026.111,27%,Income Statement,Plastics Material and Resin Manufacturing
325211,Operating Profit,1434167.556,9%,Income Statement,Plastics Material and Resin Manufacturing
325211,Other Expenses,31177.55556,0%,Income Statement,Plastics Material and Resin Manufacturing
325211,Profit Before Taxes,1387401.222,9%,Income Statement,Plastics Material and Resin Manufacturing
325211,EBITDA,1886242.111,12%,Income Statement,Plastics Material and Resin Manufacturing
325314,Revenue,37730812.5,100%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,COGS,29203648.88,77%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,Gross Profit,8527163.625,23%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,Operating Expenses,7282046.813,19%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,Operating Profit,1245116.813,3%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,Other Expenses,-264115.6875,-1%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,Profit Before Taxes,1546963.313,4%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325314,EBITDA,3735350.438,10%,Income Statement,Fertilizer (Mixing Only) Manufacturing
325411,Revenue,16727363.64,100%,Income Statement,Medicinal and Botanical Manufacturing
325411,COGS,7343312.636,44%,Income Statement,Medicinal and Botanical Manufacturing
325411,Gross Profit,9384051,56%,Income Statement,Medicinal and Botanical Manufacturing
325411,Operating Expenses,7560768.364,45%,Income Statement,Medicinal and Botanical Manufacturing
325411,Operating Profit,1823282.636,11%,Income Statement,Medicinal and Botanical Manufacturing
325411,Other Expenses,66909.45455,0%,Income Statement,Medicinal and Botanical Manufacturing
325411,Profit Before Taxes,1756373.182,11%,Income Statement,Medicinal and Botanical Manufacturing
325411,EBITDA,2141102.545,13%,Income Statement,Medicinal and Botanical Manufacturing
325412,Revenue,13757105.26,100%,Income Statement,Pharmaceutical Preparation Manufacturing
325412,COGS,7194966.053,52%,Income Statement,Pharmaceutical Preparation Manufacturing
