Code,Indicator,Year,Index,% Change
C105,Federal expenditure on disability benefits,1999,72.19,5.1
C105,Federal expenditure on disability benefits,2000,75.55,4.7
C105,Federal expenditure on disability benefits,2001,80.12,6.1
C105,Federal expenditure on disability benefits,2002,86.93,8.5
C105,Federal expenditure on disability benefits,2003,92.09,5.9
C105,Federal expenditure on disability benefits,2004,98.9,7.4
C105,Federal expenditure on disability benefits,2005,104.71,5.9
C105,Federal expenditure on disability benefits,2006,109.89,4.9
C105,Federal expenditure on disability benefits,2007,114.76,4.4
C105,Federal expenditure on disability benefits,2008,120.77,5.2
C105,Federal expenditure on disability benefits,2009,133.62,10.6
C105,Federal expenditure on disability benefits,2010,138.56,3.7
C105,Federal expenditure on disability benefits,2011,140.95,1.7
C105,Federal expenditure on disability benefits,2012,146.89,4.2
C105,Federal expenditure on disability benefits,2013,147.81,0.6
C105,Federal expenditure on disability benefits,2014,146.89,-0.6
C105,Federal expenditure on disability benefits,2015,147.24,0.2
C105,Federal expenditure on disability benefits,2016,145.26,-1.4
C105,Federal expenditure on disability benefits,2017,142.75,-1.7
C105,Federal expenditure on disability benefits,2018,140.44,-1.6
C105,Federal expenditure on disability benefits,2019,139.47,-0.7
C105,Federal expenditure on disability benefits,2020,136.18,-2.4
C105,Federal expenditure on disability benefits,2021,127.06,-6.7
C105,Federal expenditure on disability benefits,2022,121.62,-4.3
C105,Federal expenditure on disability benefits,2023,124.19,2.1
C105,Federal expenditure on disability benefits,2024,121.59,-2.1
C105,Federal expenditure on disability benefits,2025,122.99,1.2
C105,Federal expenditure on disability benefits,2026,125.65,2.2
C105,Federal expenditure on disability benefits,2027,128.95,2.6
C105,Federal expenditure on disability benefits,2028,130.69,1.3
C105,Federal expenditure on disability benefits,2029,131.65,0.7
C105,Federal expenditure on disability benefits,2030,132.19,0.4
C105,Federal expenditure on disability benefits,2031,136.7,3.4
C106,Federal funding for creative arts,1980,392.69,0
C106,Federal funding for creative arts,1981,368.46,-6.2
C106,Federal funding for creative arts,1982,313.5,-14.9
C106,Federal funding for creative arts,1983,302.63,-3.5
C106,Federal funding for creative arts,1984,329.31,8.8
C106,Federal funding for creative arts,1985,322.03,-2.2
C106,Federal funding for creative arts,1986,306.33,-4.9
C106,Federal funding for creative arts,1987,311.1,1.6
C106,Federal funding for creative arts,1988,304.96,-2
C106,Federal funding for creative arts,1989,295.81,-3
C106,Federal funding for creative arts,1990,288.77,-2.4
C106,Federal funding for creative arts,1991,283.95,-1.7
C106,Federal funding for creative arts,1992,280.62,-1.2
C106,Federal funding for creative arts,1993,271.79,-3.2
C106,Federal funding for creative arts,1994,259.65,-4.5
C106,Federal funding for creative arts,1995,242.49,-6.6
C106,Federal funding for creative arts,1996,145.94,-39.8
C106,Federal funding for creative arts,1997,143.49,-1.7
C106,Federal funding for creative arts,1998,139.77,-2.6
C106,Federal funding for creative arts,1999,137.77,-1.4
C106,Federal funding for creative arts,2000,134.26,-2.6
C106,Federal funding for creative arts,2001,140.9,4.9
C106,Federal funding for creative arts,2002,152.58,8.3
C106,Federal funding for creative arts,2003,150.3,-1.5
C106,Federal funding for creative arts,2004,152.99,1.8
C106,Federal funding for creative arts,2005,148.7,-2.8
C106,Federal funding for creative arts,2006,147.98,-0.5
C106,Federal funding for creative arts,2007,144.26,-2.5
C106,Federal funding for creative arts,2008,164.41,14
C106,Federal funding for creative arts,2009,175.03,6.5
C106,Federal funding for creative arts,2010,186.88,6.8
C106,Federal funding for creative arts,2011,169.1,-9.5
C106,Federal funding for creative arts,2012,156.7,-7.3
C106,Federal funding for creative arts,2013,146.02,-6.8
C106,Federal funding for creative arts,2014,151.45,3.7
C106,Federal funding for creative arts,2015,150.05,-0.9
C106,Federal funding for creative arts,2016,150.6,0.4
C106,Federal funding for creative arts,2017,149.86,-0.5
C106,Federal funding for creative arts,2018,149.43,-0.3
C106,Federal funding for creative arts,2019,149.03,-0.3
C106,Federal funding for creative arts,2020,153.99,3.3
C106,Federal funding for creative arts,2021,152.02,-1.3
C106,Federal funding for creative arts,2022,152.59,0.4
C106,Federal funding for creative arts,2023,169.3,11
C106,Federal funding for creative arts,2024,166.7,-1.5
C106,Federal funding for creative arts,2025,161.9,-2.9
C106,Federal funding for creative arts,2026,157.27,-2.9
C106,Federal funding for creative arts,2027,152.81,-2.8
C106,Federal funding for creative arts,2028,148.49,-2.8
C106,Federal funding for creative arts,2029,144.29,-2.8
C106,Federal funding for creative arts,2030,140.2,-2.8
C106,Federal funding for creative arts,2031,136.21,-2.9
C102,Federal funding for defense,1980,340.33,0
C102,Federal funding for defense,1981,365.48,7.4
C102,Federal funding for defense,1982,404.97,10.8
C102,Federal funding for defense,1983,441.52,9
C102,Federal funding for defense,1984,461.64,4.6
C102,Federal funding for defense,1985,497.32,7.7
C102,Federal funding for defense,1986,527.27,6
C102,Federal funding for defense,1987,530.79,0.7
C102,Federal funding for defense,1988,527.92,-0.6
C102,Federal funding for defense,1989,531.05,0.6
C102,Federal funding for defense,1990,504.71,-5
C102,Federal funding for defense,1991,445.76,-11.7
C102,Federal funding for defense,1992,475.81,6.7
C102,Federal funding for defense,1993,453.47,-4.7
C102,Federal funding for defense,1994,429.59,-5.3
C102,Federal funding for defense,1995,406.45,-5.4
C102,Federal funding for defense,1996,389.89,-4.1
C102,Federal funding for defense,1997,390.13,0.1
C102,Federal funding for defense,1998,382.5,-2
C102,Federal funding for defense,1999,386.42,1
C102,Federal funding for defense,2000,404.8,4.8
C102,Federal funding for defense,2001,409.81,1.2
C102,Federal funding for defense,2002,461.45,12.6
C102,Federal funding for defense,2003,525.63,13.9
C102,Federal funding for defense,2004,576.47,9.7
C102,Federal funding for defense,2005,607.34,5.4
C102,Federal funding for defense,2006,620.7,2.2
C102,Federal funding for defense,2007,638.43,2.9
C102,Federal funding for defense,2008,699.95,9.6
C102,Federal funding for defense,2009,746.44,6.6
C102,Federal funding for defense,2010,773.73,3.7
C102,Federal funding for defense,2011,771.28,-0.3
C102,Federal funding for defense,2012,727.44,-5.7
C102,Federal funding for defense,2013,668.42,-8.1
C102,Federal funding for defense,2014,625.89,-6.4
C102,Federal funding for defense,2015,605.93,-3.2
C102,Federal funding for defense,2016,604.02,-0.3
C102,Federal funding for defense,2017,598.75,-0.9
C102,Federal funding for defense,2018,617.13,3.1
C102,Federal funding for defense,2019,659.31,6.8
C102,Federal funding for defense,2020,687.69,4.3
C102,Federal funding for defense,2021,684.21,-0.5
C102,Federal funding for defense,2022,649.05,-5.1
C102,Federal funding for defense,2023,670.89,3.4
C102,Federal funding for defense,2024,722.01,7.6
C102,Federal funding for defense,2025,736.99,2.1
C102,Federal funding for defense,2026,743.16,0.8
C102,Federal funding for defense,2027,751.96,1.2
C102,Federal funding for defense,2028,762.64,1.4
C102,Federal funding for defense,2029,772.42,1.3
C102,Federal funding for defense,2030,787.45,1.9
C102,Federal funding for defense,2031,795.1,1
C111,Federal funding for homeland security,1980,10.91,0
C111,Federal funding for homeland security,1981,9.15,-16.2
C111,Federal funding for homeland security,1982,8.41,-8.1
C111,Federal funding for homeland security,1983,9.86,17.3
C111,Federal funding for homeland security,1984,10.27,4.1
C111,Federal funding for homeland security,1985,9.85,-4.1
C111,Federal funding for homeland security,1986,10.38,5.4
C111,Federal funding for homeland security,1987,10.13,-2.4
C111,Federal funding for homeland security,1988,11.24,10.9
C111,Federal funding for homeland security,1989,9.92,-11.7
C111,Federal funding for homeland security,1990,12.17,22.7
C111,Federal funding for homeland security,1991,10.85,-10.8
C111,Federal funding for homeland security,1992,12.08,11.3
C111,Federal funding for homeland security,1993,15.04,24.4
C111,Federal funding for homeland security,1994,16.33,8.6
C111,Federal funding for homeland security,1995,14.01,-14.2
C111,Federal funding for homeland security,1996,14.22,1.5
C111,Federal funding for homeland security,1997,15.19,6.8
C111,Federal funding for homeland security,1998,15.14,-0.3
C111,Federal funding for homeland security,1999,18.73,23.7
C111,Federal funding for homeland security,2000,18.1,-3.4
C111,Federal funding for homeland security,2001,20.15,11.3
C111,Federal funding for homeland security,2002,23.27,15.5
C111,Federal funding for homeland security,2003,41.52,78.4
C111,Federal funding for homeland security,2004,33.61,-19.1
C111,Federal funding for homeland security,2005,47.45,41.2
C111,Federal funding for homeland security,2006,82.11,73
C111,Federal funding for homeland security,2007,45.35,-44.8
C111,Federal funding for homeland security,2008,46.21,1.9
C111,Federal funding for homeland security,2009,58.4,26.4
C111,Federal funding for homeland security,2010,49.6,-15.1
C111,Federal funding for homeland security,2011,50,0.8
C111,Federal funding for homeland security,2012,50.89,1.8
C111,Federal funding for homeland security,2013,60.38,18.6
C111,Federal funding for homeland security,2014,44.87,-25.7
C111,Federal funding for homeland security,2015,43.75,-2.5
C111,Federal funding for homeland security,2016,46.01,5.2
C111,Federal funding for homeland security,2017,50.5,9.8
C111,Federal funding for homeland security,2018,66.84,32.4
C111,Federal funding for homeland security,2019,54.16,-19
C111,Federal funding for homeland security,2020,87.28,61.2
C111,Federal funding for homeland security,2021,82.65,-5.3
C111,Federal funding for homeland security,2022,68.55,-17.1
C111,Federal funding for homeland security,2023,72.82,6.2
C111,Federal funding for homeland security,2024,93.36,28.2
C111,Federal funding for homeland security,2025,79.36,-15
C111,Federal funding for homeland security,2026,77.77,-2
C111,Federal funding for homeland security,2027,77.9,0.2
C111,Federal funding for homeland security,2028,79.77,2.4
C111,Federal funding for homeland security,2029,77.24,-3.2
C111,Federal funding for homeland security,2030,77.84,0.8
C111,Federal funding for homeland security,2031,78.25,0.5
C101,"Federal funding for Medicare and
Medicaid",1980,117.09,0
C101,"Federal funding for Medicare and
Medicaid",1981,129.94,11
C101,"Federal funding for Medicare and
Medicaid",1982,139.64,7.5
C101,"Federal funding for Medicare and
Medicaid",1983,150.4,7.7
C101,"Federal funding for Medicare and
Medicaid",1984,157.73,4.9
C101,"Federal funding for Medicare and
Medicaid",1985,174.14,10.4
C101,"Federal funding for Medicare and
Medicaid",1986,183.62,5.4
C101,"Federal funding for Medicare and
Medicaid",1987,192.93,5.1
C101,"Federal funding for Medicare and
Medicaid",1988,198.91,3.1
C101,"Federal funding for Medicare and
Medicaid",1989,209.23,5.2
C101,"Federal funding for Medicare and
Medicaid",1990,234.72,12.2
C101,"Federal funding for Medicare and
Medicaid",1991,256.09,9.1
C101,"Federal funding for Medicare and
Medicaid",1992,298.07,16.4
C101,"Federal funding for Medicare and
Medicaid",1993,321.55,7.9
C101,"Federal funding for Medicare and
Medicaid",1994,345.94,7.6
C101,"Federal funding for Medicare and
Medicaid",1995,371.99,7.5
C101,"Federal funding for Medicare and
Medicaid",1996,390.7,5
C101,"Federal funding for Medicare and
Medicaid",1997,411.9,5.4
C101,"Federal funding for Medicare and
Medicaid",1998,419.45,1.8
C101,"Federal funding for Medicare and
Medicaid",1999,419.65,0
C101,"Federal funding for Medicare and
Medicaid",2000,433.18,3.2
C101,"Federal funding for Medicare and
Medicaid",2001,466.38,7.7
C101,"Federal funding for Medicare and
Medicaid",2002,500.97,7.4
C101,"Federal funding for Medicare and
Medicaid",2003,532.73,6.3
C101,"Federal funding for Medicare and
Medicaid",2004,563.55,5.8
C101,"Federal funding for Medicare and
Medicaid",2005,589.08,4.5
C101,"Federal funding for Medicare and
Medicaid",2006,607.24,3.1
C101,"Federal funding for Medicare and
Medicaid",2007,655.51,7.9
C101,"Federal funding for Medicare and
Medicaid",2008,672.83,2.6
C101,"Federal funding for Medicare and
Medicaid",2009,769.01,14.3
C101,"Federal funding for Medicare and
Medicaid",2010,808.34,5.1
C101,"Federal funding for Medicare and
Medicaid",2011,831.45,2.9
C101,"Federal funding for Medicare and
Medicaid",2012,775.14,-6.8
C101,"Federal funding for Medicare and
Medicaid",2013,805.34,3.9
C101,"Federal funding for Medicare and
Medicaid",2014,843.42,4.7
C101,"Federal funding for Medicare and
Medicaid",2015,920.73,9.2
C101,"Federal funding for Medicare and
Medicaid",2016,980.07,6.4
C101,"Federal funding for Medicare and
Medicaid",2017,972.05,-0.8
C101,"Federal funding for Medicare and
Medicaid",2018,956.13,-1.6
C101,"Federal funding for Medicare and
Medicaid",2019,1019.58,6.6
C101,"Federal funding for Medicare and
Medicaid",2020,1171.82,14.9
C101,"Federal funding for Medicare and
Medicaid",2021,1104.5,-5.8
C101,"Federal funding for Medicare and
Medicaid",2022,1141.86,3.4
C101,"Federal funding for Medicare and
Medicaid",2023,1196.91,4.8
C101,"Federal funding for Medicare and
Medicaid",2024,1208.84,1
C101,"Federal funding for Medicare and
Medicaid",2025,1274.53,5.4
C101,"Federal funding for Medicare and
Medicaid",2026,1321.77,3.7
C101,"Federal funding for Medicare and
Medicaid",2027,1374.06,4
C101,"Federal funding for Medicare and
Medicaid",2028,1448.46,5.4
C101,"Federal funding for Medicare and
Medicaid",2029,1450.73,0.2
C101,"Federal funding for Medicare and
Medicaid",2030,1486.49,2.5
C101,"Federal funding for Medicare and
Medicaid",2031,1560.98,5
C108,Federal funding for social services,1980,15.52,0
C108,Federal funding for social services,1981,14.57,-6.1
C108,Federal funding for social services,1982,12.04,-17.4
C108,Federal funding for social services,1983,12,-0.3
C108,Federal funding for social services,1984,13.2,10
C108,Federal funding for social services,1985,11.72,-11.2
C108,Federal funding for social services,1986,12.38,5.6
C108,Federal funding for social services,1987,12.37,-0.1
C108,Federal funding for social services,1988,12.7,2.6
C108,Federal funding for social services,1989,14.01,10.3
C108,Federal funding for social services,1990,13.73,-2
C108,Federal funding for social services,1991,15.33,11.7
C108,Federal funding for social services,1992,15.48,1
C108,Federal funding for social services,1993,15.14,-2.2
C108,Federal funding for social services,1994,16.77,10.8
C108,Federal funding for social services,1995,17.38,3.6
C108,Federal funding for social services,1996,16.24,-6.6
C108,Federal funding for social services,1997,16.96,4.5
C108,Federal funding for social services,1998,16.95,-0.1
C108,Federal funding for social services,1999,17.09,0.8
C108,Federal funding for social services,2000,17.27,1
C108,Federal funding for social services,2001,18.13,5
C108,Federal funding for social services,2002,19.73,8.9
C108,Federal funding for social services,2003,20.22,2.5
C108,Federal funding for social services,2004,20.05,-0.9
C108,Federal funding for social services,2005,19.93,-0.6
C108,Federal funding for social services,2006,19.59,-1.7
C108,Federal funding for social services,2007,19.37,-1.2
C108,Federal funding for social services,2008,19.09,-1.4
C108,Federal funding for social services,2009,19.25,0.8
C108,Federal funding for social services,2010,21.4,11.2
C108,Federal funding for social services,2011,20.69,-3.3
C108,Federal funding for social services,2012,19.17,-7.4
C108,Federal funding for social services,2013,19.06,-0.6
C108,Federal funding for social services,2014,17.94,-5.9
C108,Federal funding for social services,2015,18.81,4.8
C108,Federal funding for social services,2016,19.1,1.5
C108,Federal funding for social services,2017,18.94,-0.9
C108,Federal funding for social services,2018,18.71,-1.2
C108,Federal funding for social services,2019,19.15,2.3
C108,Federal funding for social services,2020,19.91,4
C108,Federal funding for social services,2021,19.9,-0.1
C108,Federal funding for social services,2022,19.27,-3.2
C108,Federal funding for social services,2023,20.28,5.3
C108,Federal funding for social services,2024,20.71,2.1
C108,Federal funding for social services,2025,20.92,1
C108,Federal funding for social services,2026,21.02,0.5
C108,Federal funding for social services,2027,21.1,0.4
C108,Federal funding for social services,2028,21.18,0.4
C108,Federal funding for social services,2029,21.21,0.2
C108,Federal funding for social services,2030,21.28,0.3
C108,Federal funding for social services,2031,22.27,4.7
F412,Per capita dairy consumption,1980,543.22,0
F412,Per capita dairy consumption,1981,540.58,-0.5
F412,Per capita dairy consumption,1982,554.55,2.6
F412,Per capita dairy consumption,1983,572.92,3.3
F412,Per capita dairy consumption,1984,581.96,1.6
F412,Per capita dairy consumption,1985,593.77,2
F412,Per capita dairy consumption,1986,591.54,-0.4
F412,Per capita dairy consumption,1987,601.31,1.7
F412,Per capita dairy consumption,1988,582.55,-3.1
F412,Per capita dairy consumption,1989,563.85,-3.2
F412,Per capita dairy consumption,1990,567.97,0.7
F412,Per capita dairy consumption,1991,563.71,-0.8
F412,Per capita dairy consumption,1992,562.43,-0.2
F412,Per capita dairy consumption,1993,569.27,1.2
F412,Per capita dairy consumption,1994,579.19,1.7
F412,Per capita dairy consumption,1995,572.1,-1.2
F412,Per capita dairy consumption,1996,562.67,-1.7
F412,Per capita dairy consumption,1997,565.09,0.4
F412,Per capita dairy consumption,1998,570.9,1
F412,Per capita dairy consumption,1999,583.93,2.3
F412,Per capita dairy consumption,2000,589.96,1
F412,Per capita dairy consumption,2001,585.2,-0.8
F412,Per capita dairy consumption,2002,587.69,0.4
F412,Per capita dairy consumption,2003,596.36,1.5
F412,Per capita dairy consumption,2004,593.79,-0.4
F412,Per capita dairy consumption,2005,603.17,1.6
F412,Per capita dairy consumption,2006,611.7,1.4
F412,Per capita dairy consumption,2007,611.97,0
F412,Per capita dairy consumption,2008,606.3,-0.9
F412,Per capita dairy consumption,2009,606.64,0.1
F412,Per capita dairy consumption,2010,603.44,-0.5
F412,Per capita dairy consumption,2011,602.86,-0.1
F412,Per capita dairy consumption,2012,613.49,1.8
F412,Per capita dairy consumption,2013,606.21,-1.2
F412,Per capita dairy consumption,2014,614.43,1.4
F412,Per capita dairy consumption,2015,627.85,2.2
F412,Per capita dairy consumption,2016,643.96,2.6
F412,Per capita dairy consumption,2017,642.93,-0.2
F412,Per capita dairy consumption,2018,643.91,0.2
F412,Per capita dairy consumption,2019,651.21,1.1
F412,Per capita dairy consumption,2020,650.69,-0.1
F412,Per capita dairy consumption,2021,661.46,1.7
F412,Per capita dairy consumption,2022,657.47,-0.6
F412,Per capita dairy consumption,2023,653.97,-0.5
F412,Per capita dairy consumption,2024,654.7,0.1
F412,Per capita dairy consumption,2025,653.87,-0.1
F412,Per capita dairy consumption,2026,653.34,-0.1
F412,Per capita dairy consumption,2027,652.92,-0.1
F412,Per capita dairy consumption,2028,652.99,0
F412,Per capita dairy consumption,2029,652.28,-0.1
F412,Per capita dairy consumption,2030,651.93,-0.1
F321,Per capita expenditure on alcohol,1980,599.21,0
F321,Per capita expenditure on alcohol,1981,580.59,-3.1
F321,Per capita expenditure on alcohol,1982,558.81,-3.8
F321,Per capita expenditure on alcohol,1983,566.8,1.4
F321,Per capita expenditure on alcohol,1984,559.11,-1.4
F321,Per capita expenditure on alcohol,1985,560.16,0.2
F321,Per capita expenditure on alcohol,1986,575.78,2.8
F321,Per capita expenditure on alcohol,1987,545,-5.4
F321,Per capita expenditure on alcohol,1988,536.1,-1.6
F321,Per capita expenditure on alcohol,1989,529.41,-1.3
F321,Per capita expenditure on alcohol,1990,541.96,2.4
F321,Per capita expenditure on alcohol,1991,529.07,-2.4
F321,Per capita expenditure on alcohol,1992,516.62,-2.4
F321,Per capita expenditure on alcohol,1993,507.23,-1.8
F321,Per capita expenditure on alcohol,1994,505.58,-0.3
F321,Per capita expenditure on alcohol,1995,501.67,-0.8
F321,Per capita expenditure on alcohol,1996,508.74,1.4
F321,Per capita expenditure on alcohol,1997,510.28,0.3
F321,Per capita expenditure on alcohol,1998,539.98,5.8
F321,Per capita expenditure on alcohol,1999,570.17,5.6
F321,Per capita expenditure on alcohol,2000,584.26,2.5
F321,Per capita expenditure on alcohol,2001,582.77,-0.3
F321,Per capita expenditure on alcohol,2002,612.81,5.2
F321,Per capita expenditure on alcohol,2003,618.93,1
F321,Per capita expenditure on alcohol,2004,623.95,0.8
F321,Per capita expenditure on alcohol,2005,622,-0.3
F321,Per capita expenditure on alcohol,2006,632.41,1.7
F321,Per capita expenditure on alcohol,2007,624.68,-1.2
F321,Per capita expenditure on alcohol,2008,656.33,5.1
F321,Per capita expenditure on alcohol,2009,638.14,-2.8
F321,Per capita expenditure on alcohol,2010,644.02,0.9
F321,Per capita expenditure on alcohol,2011,654.75,1.7
F321,Per capita expenditure on alcohol,2012,672.78,2.8
F321,Per capita expenditure on alcohol,2013,667.86,-0.7
F321,Per capita expenditure on alcohol,2014,676.91,1.4
F321,Per capita expenditure on alcohol,2015,781.88,15.5
F321,Per capita expenditure on alcohol,2016,811.27,3.8
F321,Per capita expenditure on alcohol,2017,841.26,3.7
F321,Per capita expenditure on alcohol,2018,862.55,2.5
F321,Per capita expenditure on alcohol,2019,879.76,2
F321,Per capita expenditure on alcohol,2020,790.51,-10.2
F321,Per capita expenditure on alcohol,2021,930,17.6
F321,Per capita expenditure on alcohol,2022,996.69,7.2
F321,Per capita expenditure on alcohol,2023,1020.06,2.3
F321,Per capita expenditure on alcohol,2024,1023.12,0.3
F321,Per capita expenditure on alcohol,2025,1035.59,1.2
F321,Per capita expenditure on alcohol,2026,1047.38,1.1
F321,Per capita expenditure on alcohol,2027,1060.7,1.3
F321,Per capita expenditure on alcohol,2028,1074.26,1.3
F321,Per capita expenditure on alcohol,2029,1088.09,1.3
F321,Per capita expenditure on alcohol,2030,1100.02,1.1
F310,Number of mobile internet connections,2002,0.19,0
F310,Number of mobile internet connections,2003,0.46,141.2
F310,Number of mobile internet connections,2004,1.04,128.7
F310,Number of mobile internet connections,2005,2.26,116.7
F310,Number of mobile internet connections,2006,4.9,116.7
F310,Number of mobile internet connections,2007,14.8,202.3
F310,Number of mobile internet connections,2008,26.53,79.2
F310,Number of mobile internet connections,2009,56.3,112.2
F310,Number of mobile internet connections,2010,97.5,73.2
F310,Number of mobile internet connections,2011,141.9,45.5
F310,Number of mobile internet connections,2012,170.1,19.9
F310,Number of mobile internet connections,2013,197.4,16
F310,Number of mobile internet connections,2014,240,21.6
F310,Number of mobile internet connections,2015,273.3,13.9
F310,Number of mobile internet connections,2016,299.3,9.5
F310,Number of mobile internet connections,2017,312.8,4.5
F310,Number of mobile internet connections,2018,340.3,8.8
F310,Number of mobile internet connections,2019,352,3.4
F310,Number of mobile internet connections,2020,369.6,5
F310,Number of mobile internet connections,2021,384.4,4
F310,Number of mobile internet connections,2022,390.7,1.6
F310,Number of mobile internet connections,2023,398.18,1.9
F310,Number of mobile internet connections,2024,400.87,0.7
F310,Number of mobile internet connections,2025,403.53,0.7
F310,Number of mobile internet connections,2026,406.17,0.7
F310,Number of mobile internet connections,2027,408.76,0.6
F310,Number of mobile internet connections,2028,411.45,0.7
F310,Number of mobile internet connections,2029,414.14,0.7
F310,Number of mobile internet connections,2030,416.84,0.7
F310,Number of mobile internet connections,2031,419.55,0.7
F416,"Per capita fruit and vegetable
consumption",1980,604.76,0
F416,"Per capita fruit and vegetable
consumption",1981,597.01,-1.3
F416,"Per capita fruit and vegetable
consumption",1982,601.71,0.8
F416,"Per capita fruit and vegetable
consumption",1983,620.72,3.2
F416,"Per capita fruit and vegetable
consumption",1984,625.42,0.8
F416,"Per capita fruit and vegetable
consumption",1985,631.55,1
F416,"Per capita fruit and vegetable
consumption",1986,640.64,1.4
F416,"Per capita fruit and vegetable
consumption",1987,647.38,1.1
F416,"Per capita fruit and vegetable
consumption",1988,637.67,-1.5
F416,"Per capita fruit and vegetable
consumption",1989,660.29,3.5
F416,"Per capita fruit and vegetable
consumption",1990,662.73,0.4
F416,"Per capita fruit and vegetable
consumption",1991,670.34,1.1
F416,"Per capita fruit and vegetable
consumption",1992,669.74,-0.1
F416,"Per capita fruit and vegetable
consumption",1993,697.19,4.1
F416,"Per capita fruit and vegetable
consumption",1994,706.96,1.4
F416,"Per capita fruit and vegetable
consumption",1995,689.19,-2.5
F416,"Per capita fruit and vegetable
consumption",1996,711.65,3.3
F416,"Per capita fruit and vegetable
consumption",1997,711.18,-0.1
F416,"Per capita fruit and vegetable
consumption",1998,721.28,1.4
F416,"Per capita fruit and vegetable
consumption",1999,709.06,-1.7
F416,"Per capita fruit and vegetable
consumption",2000,713.34,0.6
F416,"Per capita fruit and vegetable
consumption",2001,696.83,-2.3
F416,"Per capita fruit and vegetable
consumption",2002,690.95,-0.9
F416,"Per capita fruit and vegetable
consumption",2003,703.25,1.8
F416,"Per capita fruit and vegetable
consumption",2004,704.28,0.1
F416,"Per capita fruit and vegetable
consumption",2005,686.18,-2.6
F416,"Per capita fruit and vegetable
consumption",2006,674.34,-1.7
F416,"Per capita fruit and vegetable
consumption",2007,669.92,-0.7
F416,"Per capita fruit and vegetable
consumption",2008,651.62,-2.7
F416,"Per capita fruit and vegetable
consumption",2009,647.62,-0.6
F416,"Per capita fruit and vegetable
consumption",2010,654.56,1.1
F416,"Per capita fruit and vegetable
consumption",2011,638.93,-2.4
F416,"Per capita fruit and vegetable
consumption",2012,638.44,-0.1
F416,"Per capita fruit and vegetable
consumption",2013,639.23,0.1
F416,"Per capita fruit and vegetable
consumption",2014,640.37,0.2
F416,"Per capita fruit and vegetable
consumption",2015,635.88,-0.7
F416,"Per capita fruit and vegetable
consumption",2016,657.28,3.4
F416,"Per capita fruit and vegetable
consumption",2017,658.04,0.1
F416,"Per capita fruit and vegetable
consumption",2018,648.1,-1.5
F416,"Per capita fruit and vegetable
consumption",2019,622.24,-4
F416,"Per capita fruit and vegetable
consumption",2020,619.62,-0.4
